Abbreviation,Type_cond,Type,Support/Copolymer/metal-organic framework (MOF),IL Cation name,IL Cation SMILE,IL Anion name,IL Anion SMILE,PIL Monomer Cation name,PIL Monomer Cation SMILE,PIL Anion name,PIL Anion SMILE,Full Name,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Temperatures (degC),Pressures (bar),P,P(CO2) Error,alph,alphErr,DOI URL,Article Title,Authors,Journal,J_abb,Volume,Page,Year,Institutions,Corresponding Author,Corresponding Author Email,Corresponding Author Institution
CAd1.67,No IL Membrane,No IL Membrane,,1-allyl-3-methylimidazolium [Amim],CN(C=C1)C=[N+]1CC=C,Chloride,[Cl-],,,,,Cellulose adamantates (CAd) with degree of substitution of 1.67. (1-allyl-3-methylimidazolium chloride [AmimCl] used as a reaction media).,Cellulose adamantates (CAd),1-allyl-3-methylimidazolium chloride [AmimCl],,,,,23,1,8.16,,17,,https://dx.doi.org/10.1016/j.memsci.2014.06.010,"Synthesis, characterization, and gas permeabilities of cellulose derivatives containing adamantane groups","Chen, Jing; Zhang, Jinming; Feng, Ye; Wu, Jin; He, Jiasong; Zhang, Jun.",Journal of Membrane Science,J. Membr. Sci.,469,507-514,2014,"Chinese Academy of Sciences (CAS), Beijing, China","Zhang, Jun",jzhang@iccas.ac.cn,"Chinese Academy of Sciences (CAS), Beijing, China"
CAd2.17,No IL Membrane,No IL Membrane,,1-allyl-3-methylimidazolium [Amim],CN(C=C1)C=[N+]1CC=C,Chloride,[Cl-],,,,,Cellulose adamantates (CAd) with degree of substitution of 2.17. (1-allyl-3-methylimidazolium chloride [AmimCl] used as a reaction media).,Cellulose adamantates (CAd),1-allyl-3-methylimidazolium chloride [AmimCl],,,,,23,1,15.2,,11.3,,https://dx.doi.org/10.1016/j.memsci.2014.06.010,"Synthesis, characterization, and gas permeabilities of cellulose derivatives containing adamantane groups","Chen, Jing; Zhang, Jinming; Feng, Ye; Wu, Jin; He, Jiasong; Zhang, Jun.",Journal of Membrane Science,J. Membr. Sci.,469,507-514,2014,"Chinese Academy of Sciences (CAS), Beijing, China","Zhang, Jun",jzhang@iccas.ac.cn,"Chinese Academy of Sciences (CAS), Beijing, China"
CAd0.22 Ac2.2,No IL Membrane,No IL Membrane,,1-allyl-3-methylimidazolium [Amim],CN(C=C1)C=[N+]1CC=C,Chloride,[Cl-],,,,,Cellulose adamantate Acetate (CAdAc) with degree of substitution of CAd:0.22 and Ac:2.2. (1-allyl-3-methylimidazolium chloride [AmimCl] used as a reaction media).,Cellulose adamantate Acetate (CAdAc),1-allyl-3-methylimidazolium chloride [AmimCl],,,,,23,1,10.1,,24,,https://dx.doi.org/10.1016/j.memsci.2014.06.010,"Synthesis, characterization, and gas permeabilities of cellulose derivatives containing adamantane groups","Chen, Jing; Zhang, Jinming; Feng, Ye; Wu, Jin; He, Jiasong; Zhang, Jun.",Journal of Membrane Science,J. Membr. Sci.,469,507-514,2014,"Chinese Academy of Sciences (CAS), Beijing, China","Zhang, Jun",jzhang@iccas.ac.cn,"Chinese Academy of Sciences (CAS), Beijing, China"
CAd1.0 Ac1.5,No IL Membrane,No IL Membrane,,1-allyl-3-methylimidazolium [Amim],CN(C=C1)C=[N+]1CC=C,Chloride,[Cl-],,,,,Cellulose adamantate Acetate (CAdAc) with degree of substitution of CAd:1.0 and Ac:1.5. (1-allyl-3-methylimidazolium chloride [AmimCl] used as a reaction media).,Cellulose adamantate Acetate (CAdAc),1-allyl-3-methylimidazolium chloride [AmimCl],,,,,23,1,15.3,,12,,https://dx.doi.org/10.1016/j.memsci.2014.06.010,"Synthesis, characterization, and gas permeabilities of cellulose derivatives containing adamantane groups","Chen, Jing; Zhang, Jinming; Feng, Ye; Wu, Jin; He, Jiasong; Zhang, Jun.",Journal of Membrane Science,J. Membr. Sci.,469,507-514,2014,"Chinese Academy of Sciences (CAS), Beijing, China","Zhang, Jun",jzhang@iccas.ac.cn,"Chinese Academy of Sciences (CAS), Beijing, China"
Pebax/PEGDME,No IL Membrane,No IL Membrane,,,,,,,,,,(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) composite polymer membrane.,Poly(amide-b-ethylene oxide) [Pebax],Polyethylene glycol dimethyl ether [PEGDME],,,,,25,0.3,487.3,14.2,16.9,0.4,https://dx.doi.org/10.1016/j.apsusc.2017.03.084,Improving CO2 permeation and separation performance of CO2 -philic polymer membrane by blending CO2 absorbents,"Cheng, Jun; Hu, Leiqing; Li, Yannan; Liu, Jianzhong; Zhou, Junhu; Cen, Kefa.",Applied Surface Science,Appl. Surf. Sci.,410,206-214,2017,"Zhejiang University, Hangzhou, China","Cheng, Jun",juncheng@zju.edu.cn,"Zhejiang University, Hangzhou, China"
Pebax/PEGDME/MEA,No IL Membrane,No IL Membrane,,,,,,,,,,(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) and (Monoethanolamine [MEA]) composite polymer membrane supported by (Porous alumina  [?-Al2O3] ceramic hollow fiber),Poly(amide-b-ethylene oxide) [Pebax],Polyethylene glycol dimethyl ether [PEGDME],Monoethanolamine [MEA],Porous alumina  [?-Al2O3],,,25,0.3,577.8,13.3,20.5,0.5,https://dx.doi.org/10.1016/j.apsusc.2017.03.084,Improving CO2 permeation and separation performance of CO2 -philic polymer membrane by blending CO2 absorbents,"Cheng, Jun; Hu, Leiqing; Li, Yannan; Liu, Jianzhong; Zhou, Junhu; Cen, Kefa.",Applied Surface Science,Appl. Surf. Sci.,410,206-214,2017,"Zhejiang University, Hangzhou, China","Cheng, Jun",juncheng@zju.edu.cn,"Zhejiang University, Hangzhou, China"
Pebax/PEGDME/[P66614][Triz],Polymer-IL,Polymer-IL,(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) composite polymer membrane.,Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,"1,2,4-triazole [Triz]",[N-]1C=NN=C1,,,,,"(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) and ([Trihexyl(tetradecyl)phosphonium [P66614]] [1,2,4-triazole [Triz]]) composite polymer membrane supported by (Porous alumina  [?-Al2O3] ceramic hollow fiber)",Poly(amide-b-ethylene oxide) [Pebax],Polyethylene glycol dimethyl ether [PEGDME],Trihexyl(tetradecyl)phosphonium [P66614],"1,2,4-triazole [Triz]",Porous alumina  [?-Al2O3],,25,0.3,630.4,24.6,18.5,0.3,https://dx.doi.org/10.1016/j.apsusc.2017.03.084,Improving CO2 permeation and separation performance of CO2 -philic polymer membrane by blending CO2 absorbents,"Cheng, Jun; Hu, Leiqing; Li, Yannan; Liu, Jianzhong; Zhou, Junhu; Cen, Kefa.",Applied Surface Science,Appl. Surf. Sci.,410,206-214,2017,"Zhejiang University, Hangzhou, China","Cheng, Jun",juncheng@zju.edu.cn,"Zhejiang University, Hangzhou, China"
Pebax/PEGDME/[P66614][2-Op],Polymer-IL,Polymer-IL,(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) composite polymer membrane.,Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,2-hydroxypyridine [2-Op],[O-]C1=NC=CC=C1,,,,,(Poly(amide-b-ethylene oxide) [Pebax]) and (Polyethylene glycol dimethyl ether [PEGDME]) and ([Trihexyl(tetradecyl)phosphonium [P66614]] [2-hydroxypyridine [2-Op]]) composite polymer membrane supported by (Porous alumina  [?-Al2O3] ceramic hollow fiber),Poly(amide-b-ethylene oxide) [Pebax],Polyethylene glycol dimethyl ether [PEGDME],Trihexyl(tetradecyl)phosphonium [P66614],2-hydroxypyridine [2-Op],Porous alumina  [?-Al2O3],,25,0.3,672.1,20.3,17.7,0.3,https://dx.doi.org/10.1016/j.apsusc.2017.03.084,Improving CO2 permeation and separation performance of CO2 -philic polymer membrane by blending CO2 absorbents,"Cheng, Jun; Hu, Leiqing; Li, Yannan; Liu, Jianzhong; Zhou, Junhu; Cen, Kefa.",Applied Surface Science,Appl. Surf. Sci.,410,206-214,2017,"Zhejiang University, Hangzhou, China","Cheng, Jun",juncheng@zju.edu.cn,"Zhejiang University, Hangzhou, China"
[bmim][BF4],SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Tetrafluoroborate [BF4],F[B-](F)(F)F,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[1-Butyl-3-methylimidazolium [bmim]] [Tetrafluoroborate [BF4]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],1-Butyl-3-methylimidazolium [bmim],Tetrafluoroborate [BF4],,,,30,2,93.9,,12.9,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
EcoengTM 1111P,SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],"1,3-Dimethylimidazolium [mmim]",C[N+]1=CN(C=C1)C,Dimethylphosphate,O=P(OC)([O-])OC,,,,,"Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[1,3-Dimethylimidazolium [mmim]] [Dimethylphosphate]}",Porous hydrophobic poly(vinylidene fluoride) [PVDF],"1,3-Dimethylimidazolium [mmim]",Dimethylphosphate,,,,30,2,127,,8.12,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
Cyphos 102,SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Bromide [Br],[Br-],,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Bromide [Br]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Bromide [Br],,,,30,2,637,,8.32,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
Cyphos 103,SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Decanoate,[O-]C(CCCCCCCCC)=O,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Decanoate]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Decanoate,,,,30,2,487,,7.49,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
Cyphos 104,SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,"Bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(CC(C)CC(C)(C)C)([O-])=O,,,,,"Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Bis(2,4,4-trimethylpentyl)phosphinate]}",Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],"Bis(2,4,4-trimethylpentyl)phosphinate",,,,30,2,642,,5.66,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
[emim][CF3SO3],SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],1-Ethyl-3-methylimidazolium [emim],C[N+]1=CN(C=C1)CC,Triflate [CF3SO3],O=S([O-])(C(F)(F)F)=O,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[1-Ethyl-3-methylimidazolium [emim]] [Triflate [CF3SO3]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],1-Ethyl-3-methylimidazolium [emim],Triflate [CF3SO3],,,,30,2,486,,23.1,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
[SEt3][Tf2N],SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Triethylsulfonium [SEt3],CC[S+](CC)CC,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Triethylsulfonium [SEt3]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Triethylsulfonium [SEt3],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,30,2,747,,9.2,,https://dx.doi.org/10.1016/j.memsci.2009.10.044,Gas separation properties of supported liquid membranes prepared with unconventional ionic liquids,"Cserjési, Petra; Nemestóthy, Nándor; Bélafi-Bakó, Katalin.",Journal of Membrane Science,J. Membr. Sci.,349 (1-2),11-Jun,2010,"Pannon University, Egyetem, Veszprém, Hungary","Bélafi-Bakó, Katalin",bako@mukki.richem.hu,"Pannon University, Egyetem, Veszprém, Hungary"
PEG cross-linked with [TETA] [Tfa] 40% free PEGDME,PIL,PIL,,,,,,Triethylenetetramine [TETA],NCCNCC[NH2+]CCN,Trifluoroacetate [Tfa],[O-]C(C(F)(F)F)=O,Poly(ethylene glycol) [PEG] cross-linked with [Triethylenetetramine [TETA]] [Trifluoroacetic acid [Tfa]] 40% free Poly(ethylene glycol) dimethyl ether [PEGDME],Poly(ethylene glycol) [PEG],Triethylenetetramine [TETA],Trifluoroacetic acid [Tfa],Poly(ethylene glycol) dimethyl ether [PEGDME],,,23,2,22.3,,16.6,,https://dx.doi.org/10.1016/j.memsci.2016.10.026,Facile fabrication of CO 2 separation membranes by cross-linking of poly(ethylene glycol) diglycidyl ether with a diamine and a polyamine-based ionic liquid,"Dai, Zhongde; Ansaloni, Luca; Gin, Douglas L.; Noble, Richard D.; Deng, Liyuan.",Journal of Membrane Science,J. Membr. Sci.,523,551-560,2017,"Norwegian University of Science and Technology, Trondheim, Norway ; University of Colorado at Boulder, Boulder, Colorado, USA","Deng, Liyuan",deng@nt.ntnu.no,"Norwegian University of Science and Technology, Trondheim, Norway"
PEG cross-linked with [TETA] [Tfa] 80% free PEGDME,PIL,PIL,,,,,,Triethylenetetramine [TETA],NCCNCC[NH2+]CCN,Trifluoroacetate [Tfa],[O-]C(C(F)(F)F)=O,Poly(ethylene glycol) [PEG] cross-linked with [Triethylenetetramine [TETA]] [Trifluoroacetic acid [Tfa]] 80% free Poly(ethylene glycol) dimethyl ether [PEGDME],Poly(ethylene glycol) [PEG],Triethylenetetramine [TETA],Trifluoroacetic acid [Tfa],Poly(ethylene glycol) dimethyl ether [PEGDME],,,23,2,117.2,,70.3,,https://dx.doi.org/10.1016/j.memsci.2016.10.026,Facile fabrication of CO 2 separation membranes by cross-linking of poly(ethylene glycol) diglycidyl ether with a diamine and a polyamine-based ionic liquid,"Dai, Zhongde; Ansaloni, Luca; Gin, Douglas L.; Noble, Richard D.; Deng, Liyuan.",Journal of Membrane Science,J. Membr. Sci.,523,551-560,2017,"Norwegian University of Science and Technology, Trondheim, Norway ; University of Colorado at Boulder, Boulder, Colorado, USA","Deng, Liyuan",deng@nt.ntnu.no,"Norwegian University of Science and Technology, Trondheim, Norway"
PEG cross-linked with A-amine 40% free PEGDME,No IL Membrane,No IL Membrane,,,,,,,,,,"Poly(ethylene glycol) [PEG] cross-linked with 2,2?-(Ethylenedioxy) bis(ethylamine) [A-amine] 40% free poly(ethylene glycol) dimethyl ether [PEGDME]",Poly(ethylene glycol) [PEG],"2,2?-(Ethylenedioxy) bis(ethylamine) [A-amine]",poly(ethylene glycol) dimethyl ether [PEGDME],,,,23,2,82.1,,35,,https://dx.doi.org/10.1016/j.memsci.2016.10.026,Facile fabrication of CO 2 separation membranes by cross-linking of poly(ethylene glycol) diglycidyl ether with a diamine and a polyamine-based ionic liquid,"Dai, Zhongde; Ansaloni, Luca; Gin, Douglas L.; Noble, Richard D.; Deng, Liyuan.",Journal of Membrane Science,J. Membr. Sci.,523,551-560,2017,"Norwegian University of Science and Technology, Trondheim, Norway ; University of Colorado at Boulder, Boulder, Colorado, USA","Deng, Liyuan",deng@nt.ntnu.no,"Norwegian University of Science and Technology, Trondheim, Norway"
PEG cross-linked with A-amine 80% free PEGDME,No IL Membrane,No IL Membrane,,,,,,,,,,"Poly(ethylene glycol) [PEG] cross-linked with 2,2?-(Ethylenedioxy) bis(ethylamine) [A-amine] 80% free poly(ethylene glycol) dimethyl ether [PEGDME]",Poly(ethylene glycol) [PEG],"2,2?-(Ethylenedioxy) bis(ethylamine) [A-amine]",poly(ethylene glycol) dimethyl ether [PEGDME],,,,23,2,196.4,,7.6,,https://dx.doi.org/10.1016/j.memsci.2016.10.026,Facile fabrication of CO 2 separation membranes by cross-linking of poly(ethylene glycol) diglycidyl ether with a diamine and a polyamine-based ionic liquid,"Dai, Zhongde; Ansaloni, Luca; Gin, Douglas L.; Noble, Richard D.; Deng, Liyuan.",Journal of Membrane Science,J. Membr. Sci.,523,551-560,2017,"Norwegian University of Science and Technology, Trondheim, Norway ; University of Colorado at Boulder, Boulder, Colorado, USA","Deng, Liyuan",deng@nt.ntnu.no,"Norwegian University of Science and Technology, Trondheim, Norway"
Nafion + 40 wt% [Bmim][BF4] (dry),Polymer-IL,Polymer-IL,Nafion,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Tetrafluoroborate [BF4],F[B-](F)(F)F,,,,,Nafion + 40 wt% [1-Butyl-3-methylimidazolium [bmim]] [Tetrafluoroborate [BF4]] (dry),Nafion,1-Butyl-3-methylimidazolium [bmim],Tetrafluoroborate [BF4],,,,23,2,75.4,,21.54,,https://dx.doi.org/10.1039/C7GC03727A,Nafion/IL hybrid membranes with tuned nanostructure for enhanced CO2 separation: effects of ionic liquid and water vapor,"Dai, Zhongde; Ansaloni, Luca; Ryan, Justin J.; Spontak, Richard J.; Deng, Liyuan.",Green Chemistry,Green Chem.,20 (6),1391-1404,2018,"Norwegian University of Science and Technology, Trondheim, Norway ; North Carolina State University, Raleigh, USA","Deng, Liyuan",deng@nt.ntnu.no,"Norwegian University of Science and Technology, Trondheim, Norway"
p(VDF-HFP) 80 wt% [emim][Tf2N],Polymer-IL,Polymer-IL,Poly(vinylidene fluoride-co-hexafluoropropylene) fluoroelastomer [p(VDF-HFP)],1-Ethyl-3-methylimidazolium [emim],C[N+]1=CN(C=C1)CC,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Poly(vinylidene fluoride-co-hexafluoropropylene) fluoroelastomer [p(VDF-HFP)] with 80 wt% [1-Ethyl-3-methylimidazolium [emim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]],Poly(vinylidene fluoride-co-hexafluoropropylene) fluoroelastomer [p(VDF-HFP)],1-Ethyl-3-methylimidazolium [emim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,25,1,533,,17.2,,https://dx.doi.org/10.1016/j.memsci.2012.05.072,High ionic liquid content polymeric gel membranes: Correlation of membrane structure with gas and vapour transport properties,"Friess, Karel; Jansen, Johannes Carolus; Bazzarelli, Fabio; Izák, Pavel; Jarmarová, Veronika; Ka?írková, Marie; Schauer, Jan; Clarizia, Gabriele; Bernardo, Paola.",Journal of Membrane Science,J. Membr. Sci.,415-416,801-809,2012,"Institute of Chemical Technology Prague, Prague, Czech Republic ; University of Calabria, Rende (CS), Italy ; Institute of Chemical Process Fundamentals, Prague, Czech Republic ; Research Institute of Inorganic Chemistry, Ústí nad Labem, Czech Republic ; Institute of Macromolecular Chemistry, Prague, Czech Republic","Jansen, Johannes Carolus",jc.jansen@itm.cnr.it,"University of Calabria, Rende (CS), Italy"
PIL-IL 50,PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],C[N+]1=CN(C=C1)CC,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,"1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]",C1(CCN2C=[N+](CCC3CO3)C=C2)OC1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,"{3:2 resin, prepared by  the crosslinking of 3 mole ([1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 2 mole (tris(2-aminoethyl)amine [TAEA])} and 50 wt% ([1-Ethyl-3-methylimidazolium [emim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) supported by Porous hydrophilic poly(tetrafluoroethylene) [PTFE]",Porous hydrophilic poly(tetrafluoroethylene) [PTFE],tris(2-aminoethyl)amine [TAEA],"1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]",1-Ethyl-3-methylimidazolium [emim],bis(trifluoromethylsulfonyl)imide [Tf2N],,25,1,195,,20,,https://dx.doi.org/10.1016/j.memsci.2017.01.016,CO2/CH4 separation performance of ionic-liquid-based epoxy-amine ion gel membranes under mixed feed conditions relevant to biogas processing,"Friess, Karel; Lan?, Marek; Pilná?ek, Kryštof; Fíla, Vlastimil; Vopi?ka, Ond?ej; Sedláková, Zuzana; Cowan, Matthew G.; McDanel, William M.; Noble, Richard D.; Gin, Douglas L.; Izak, Pavel.",Journal of Membrane Science,J. Membr. Sci.,528,64-71,2017,"University of Chemistry and Technology, Prague, Czech Republic ; Institute of Chemical Process Fundamentals of the CAS, Prague, Czech Republic ; University of Colorado, Boulder, CO, USA","Friess, Karel",karel.friess@vscht.cz,"University of Chemistry and Technology, Prague, Czech Republic"
PIL-IL 75,PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],C[N+]1=CN(C=C1)CC,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,"1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]",C1(CCN2C=[N+](CCC3CO3)C=C2)OC1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,"{3:2 resin, prepared by  the crosslinking of 3 mole ([1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 2 mole (tris(2-aminoethyl)amine [TAEA])} and 75 wt% ([1-Ethyl-3-methylimidazolium [emim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) supported by Porous hydrophilic poly(tetrafluoroethylene) [PTFE]",Porous hydrophilic poly(tetrafluoroethylene) [PTFE],tris(2-aminoethyl)amine [TAEA],"1,3-bis(2-oxiranyl-ethyl)imidazolium [bis(epoxide)-IL]",1-Ethyl-3-methylimidazolium [emim],bis(trifluoromethylsulfonyl)imide [Tf2N],,25,1,525,,18,,https://dx.doi.org/10.1016/j.memsci.2017.01.016,CO2/CH4 separation performance of ionic-liquid-based epoxy-amine ion gel membranes under mixed feed conditions relevant to biogas processing,"Friess, Karel; Lan?, Marek; Pilná?ek, Kryštof; Fíla, Vlastimil; Vopi?ka, Ond?ej; Sedláková, Zuzana; Cowan, Matthew G.; McDanel, William M.; Noble, Richard D.; Gin, Douglas L.; Izak, Pavel.",Journal of Membrane Science,J. Membr. Sci.,528,64-71,2017,"University of Chemistry and Technology, Prague, Czech Republic ; Institute of Chemical Process Fundamentals of the CAS, Prague, Czech Republic ; University of Colorado, Boulder, CO, USA","Friess, Karel",karel.friess@vscht.cz,"University of Chemistry and Technology, Prague, Czech Republic"
neat Pebax?1657,No IL Membrane,No IL Membrane,,,,,,,,,,Neat 60% block ratio Poly(ethylene oxide) [PEO] 40% block ratio Poly[imino(1-oxohexamethylene)] [polyamide 6]   [Pebax?1657],60% block ratio Poly(ethylene oxide) [PEO] 40% block ratio Poly[imino(1-oxohexamethylene)] [polyamide 6]   [Pebax?1657],,,,,,35,2,80,,15,,https://dx.doi.org/10.1021/acsami.6b16539,Interfacial Design of Ternary Mixed Matrix Membranes Containing Pebax 1657/Silver-Nanopowder/[BMIM][BF4] for Improved CO2 Separation Performance,"Ghasemi Estahbanati, Ehsan; Omidkhah, Mohammadreza; Ebadi Amooghin, Abtin.",ACS Applied Materials & Interfaces,ACS Appl. Mater. Interfaces.,9 (11),10094-10105,2017,"Tarbiat Modares University, Tehran, Iran ; Arak University, Arak, Iran","Omidkhah, Mohammadreza",Omidkhah@modares.ac.ir,"Tarbiat Modares University, Tehran, Iran"
